Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161100551541 ,LUX SOAP 20 G,SOAPS AND DETERGENTS,WRAP,8.3,10,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6162006603099 ,LIFEBUOY LEMMON FRESH 75 G,SOAPS AND DETERGENTS,WRAP,48,60,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6162006603105 ,LIFEBUOY LEMMON FRESH 175 G,SOAPS AND DETERGENTS,WRAP,104,130,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6161100601277 ,LADY GAY LOTION 50 ML,JELLY AND LOTIONS,BOTTLE,39,45,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
6161109722737 ,SUNLIGHT SOAP PARADISE 175 G,SOAPS AND DETERGENTS,WRAP,36,40,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6162006603075 ,LIFEBUOY HERBAL 75 G,SOAPS AND DETERGENTS,WRAP,48,60,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6162006603082 ,LIFEBUOY HERBAL 175 G,SOAPS AND DETERGENTS,WRAP,104,130,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6162006600715 ,LIFEBUOY CARE 75 G,SOAPS AND DETERGENTS,WRAP,48,60,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6162006600722 ,LIFEBUOY CARE 175 G,SOAPS AND DETERGENTS,WRAP,104,130,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6162006600746 ,LUX SOFT TOUCH 75 G,SOAPS AND DETERGENTS,WRAP,88,110,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6162006600760 ,LUX SOFT CARESS 75 G,SOAPS AND DETERGENTS,WRAP,88,110,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6162006600791 ,LUX VELVET TOUCH 175 G,SOAPS AND DETERGENTS,WRAP,88,110,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6161100601291 ,LADY GAY LOTION 200 ML,JELLY AND LOTIONS,BOTTLE,81,95,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
6161100601286 ,LADY GAY LOTION 120 ML,JELLY AND LOTIONS,BOTTLE,60,70,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
61601048 ,VASELINE BLUE SEAL ALOE FRESH 100 ML,JELLY AND LOTIONS,BOTTLE,77,95,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
6001087012010 ,VASELINE MEN EXTRA STRENGTH 400 ML,JELLY AND LOTIONS,BOTTLE,312,390,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
6001087012027 ,VASELINE MEN COOLING 400 ML,JELLY AND LOTIONS,BOTTLE,312,390,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
600187012041 ,VASELINE MEN EXTRA STRENGTH 200 ML,JELLY AND LOTIONS,BOTTLE,168,210,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
600187012072 ,VASELINE MENCOOLING 200 ML,JELLY AND LOTIONS,BOTTLE,168,210,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
61601055 ,VASELINE BLUE SEAL COCOA BUTTER 100 ML,JELLY AND LOTIONS,BOTTLE,77,95,,VAT @ 16%,INCLUSIVE,JELLY,,,,,,,
61601017 ,VASELINE BLUE SEAL BABY 100 ML ,JELLY AND LOTIONS,BOTTLE,77,95,,VAT @ 16%,INCLUSIVE,JELLY,,,,,,,
8901030022913 ,FAIR N LOVELY 50 G,JELLY AND LOTIONS,TUBE,116,145,,VAT @ 16%,INCLUSIVE,CREAM,,,,,,,
8901030022920 ,FAIR N LOVELY 25 G,JELLY AND LOTIONS,TUBE,72,90,,VAT @ 16%,INCLUSIVE,CREAM,,,,,,,
6001087357272 ,VASELINE INTENSIVE CARE COCOA GLOW 200 ML,JELLY AND LOTIONS,BOTTLE,160,200,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
6001087357043 ,VASELINE INTENSIVE CARE DRY SKIN REPAIR 400 ML,JELLY AND LOTIONS,BOTTLE,304,380,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
6001087857258 ,VASELINE INTENSIVE CARE DRY SKIN REPAIR 200 ML,JELLY AND LOTIONS,BOTTLE,160,200,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
6001087357050 ,VASELINE INTENSIVE CARE ALOE SOOTHE 400 ML,JELLY AND LOTIONS,BOTTLE,304,380,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
6001087357265 ,VASELINE INTENSIVE CARE ALOE SOOTHE 200 ML,JELLY AND LOTIONS,BOTTLE,160,200,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
6001087357067 ,VASELINE INTENSIVE CARE COCOA GLOW 400 ML,JELLY AND LOTIONS,BOTTLE,304,380,,VAT @ 16%,INCLUSIVE,LOTIONS,,,,,,,
61600942 ,VASELINE BLUE SEAL MEN FRESH 50 ML,JELLY AND LOTIONS,BOTTLE,49,60,,VAT @ 16%,INCLUSIVE,JELLY,,,,,,,
61600898 ,VASELINE BLUE SEAL MEN COOLING 50 ML,JELLY AND LOTIONS,BOTTLE,49,60,,VAT @ 16%,INCLUSIVE,JELLY,,,,,,,
61600935 ,VASELINE BLUSEAL  MEN FRESH 100 ML,JELLY AND LOTIONS,BOTTLE,77,95,,VAT @ 16%,INCLUSIVE,JELLY,,,,,,,
61600928 ,VASELINE BLUE SEAL MEN COOLING 100 ML ,JELLY AND LOTIONS,BOTTLE,77,95,,VAT @ 16%,INCLUSIVE,JELLY,,,,,,,
8934839120917 ,CLOSE UP DEEP ACTION 30 G,TOOTH PASTE,TUBE,42,50,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
8934839120894 ,CLOSE UP DEEP ACTION 60 G,TOOTH PASTE,TUBE,79,95,,VAT @ 16%,INCLUSIVE,TOOTH PASTE,,,,,,,
4800888183972 ,REXONA COTTON 50 ML,DEODRANTS AND BODY SPRAY,BOTTLE,181,240,,VAT @ 16%,INCLUSIVE,ROLL ON,,,,,,,
