Code,Name,,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6.16E+12,VIM ALL PURPOSE CLEANER LEMON FRESH 500 G,22,BOTTLE,48,55,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,PEPSODENT TOOTHPASTE 140 G (BUY 2 SAVE 100),22,TUBE,240,300,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,PEPSODENT TOOTHPASTE 150 G (BUY 1 GET 1 FREE),22,TUBE,136,170,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SUNLIGHT TURBO LEMONDISH WASHING LIQUID 400 ML,22,BOTTLE,114,140,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,VIM ALL PURPOSE CLEANER LAVENDER FRESH 1 KG,22,BOTTLE,110,120,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,VIM ALL PURPOSE CLEANER LEMON FRESH 1 KG,22,BOTTLE,110,120,,VAT @ 16%,INCLUSIVE,,,,,,,,
8.93E+12,PEPSODENT TOOTHPASTE 35 G,22,TUBE,32,40,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SUNLIGHT BAR SOAP 80 G,22,WRAP,18,20,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SUNLIGHT BAR SOAP 175 G,22,WRAP,36,40,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SUNLIGHT BAR SOAP 50 G,22,WRAP,13,14,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,ROYCO CUBE BEEF FLAVOUR 4 G,22,WRAP,2,2.5,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,ROYCO MCHUZI MIX BEEF FLAVOUR 10 G,22,PACK,4.4,5,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,ROYCO CHICKEN CUBES (6),22,PACK,35,45,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,KNORR BEEF CHILLI CUBES (6),22,PACK,15.4,20,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SUNLIGHT TURBO LEMONDISH WASHING LIQUID 750 ML,22,BOTTLE,183,225,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,ROYCO MCHUZI MIX CHICKEN FLAVOUR 200 G,22,JAR,89,100,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,ROYCO MCHUZI MIX SPICY BEEF FLAVOUR 2 KG,22,JAR,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SUNLIGHT BAR SOAP 900 G,22,WRAP,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SUNLIGHT BAR SOAP 700 G,22,WRAP,107,120,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,ROYCO MCHUZI MIX BEEF FLAVOUR 500 G,22,JAR,,,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,ROYCO MCHUZI MIX BEEF FLAVOUR 70 G,22,SATCHET,26,30,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,SUNLIGHT 2 IN 1  40 G,22,SATCHET,8,10,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,OMO HAND WASHING POWDER 45 G,22,SATCHET,11.5,15,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,OMO HAND WASHING POWDER 200 G,22,SATCHET,49.4,60,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,OMO HAND WASHING POWDER 500 G,22,SATCHET,142,160,,VAT @ 16%,INCLUSIVE,,,,,,,,
6.16E+12,OMO HAND WASHING POWDER 1 KG,22,,259,290,,VAT @ 16%,INCLUSIVE,,,,,,,,
